Year,Month,Date,Label,Top Level,Category 1,Category 2,Type,Value
2017,7,2017-07-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8102767.800000002
2017,8,2017-08-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8511680.399999999
2017,9,2017-09-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8059571.1
2017,10,2017-10-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8293739.9
2017,11,2017-11-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8539792.9
2017,12,2017-12-01,Non-Upgraded Total,Nonupgraded Total,Production,Oil Sands Production,flow,8460418.7
2017,1,2017-01-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,5681816.8
2017,2,2017-02-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,5130242
2017,3,2017-03-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,4751565.7
2017,4,2017-04-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,3513959
2017,5,2017-05-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,4423191.8
2017,6,2017-06-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,4614780.7
2017,7,2017-07-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,5171331.4
2017,8,2017-08-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,5818959.5
2017,9,2017-09-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,4810801.6
2017,10,2017-10-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,4436681.7
2017,11,2017-11-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,5161872.6
2017,12,2017-12-01,Upgraded Production,Upgraded Production,Production,Oil Sands Production,flow,6050005.6
2017,1,2017-01-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,13767949.9
2017,2,2017-02-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,12602680
2017,3,2017-03-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,12798018.1
2017,4,2017-04-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,10882192.2
2017,5,2017-05-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,11816160.2
2017,6,2017-06-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,11900627.1
2017,7,2017-07-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,13274099.200000003
2017,8,2017-08-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,14330639.899999999
2017,9,2017-09-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,12870372.7
2017,10,2017-10-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,12730421.600000001
2017,11,2017-11-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,13701665.5
2017,12,2017-12-01,Total Oil Sands Production,Total Oil Sands Production,Production,Oil Sands Production,flow,14510424.299999999
2017,1,2017-01-01,Total Production,Total Production,Production,,flow,16160719.200000001
2017,2,2017-02-01,Total Production,Total Production,Production,,flow,14795418.5
2017,3,2017-03-01,Total Production,Total Production,Production,,flow,15255171.399999999
2017,4,2017-04-01,Total Production,Total Production,Production,,flow,13276286.399999999
2017,5,2017-05-01,Total Production,Total Production,Production,,flow,14277520.099999998
2017,6,2017-06-01,Total Production,Total Production,Production,,flow,14294730.7
2017,7,2017-07-01,Total Production,Total Production,Production,,flow,15766236.200000003
2017,8,2017-08-01,Total Production,Total Production,Production,,flow,16785511.099999998
2017,9,2017-09-01,Total Production,Total Production,Production,,flow,15344250.299999999
2017,10,2017-10-01,Total Production,Total Production,Production,,flow,15326960.700000003
2017,11,2017-11-01,Total Production,Total Production,Production,,flow,16280018.3
2017,12,2017-12-01,Total Production,Total Production,Production,,flow,17186063.3
2017,1,2017-01-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,680908
2017,2,2017-02-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,602452.2
2017,3,2017-03-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,729019.2
2017,4,2017-04-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,677983.7
2017,5,2017-05-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,733928
2017,6,2017-06-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,739108
2017,7,2017-07-01,Pentanes Plus  - Plant/Gathering Process,Pentanes Plus - Plant/Gathering Process,Receipts,Pentanes Plus,flow,780545.3
